#separator:tab
#html:true
"Frage:<br>
Welche drei Dimensionen sind beim Scoping einer Enterprise Architecture zu beachten?"	"<ul>
<li>Architecture Layer Scope: Betrachtete Architekturebenen</li>
<li>Enterprise Scope: Organisatorischer und geografischer Geltungsbereich</li>
<li>Vertical Scope: Detaillierungsgrad</li>
</ul>"
"Frage:<br />
Was versteht man unter dem Begriff ""Application Spaghetti"" im Kontext von Enterprise Architecture?"	Ein nicht dokumentiertes, unübersichtliches und stark vernetztes System von Anwendungen, das historisch gewachsen ist und durch fehlende Konsolidierung, M&amp;A, Pilotsysteme und Legacy-Systeme geprägt ist.
"Frage:<br />
Wie erkennt man Bottlenecks in Architekturen anhand der Bottom-Up-Berechnungen?"	"<p>Man betrachtet:</p>
<ul>
<li>hohe Antwortzeiten (Response Time): Potenzielle Verzögerungen</li>
<li>hohe Auslastung (\(\text{Utilization} &gt; 1\)): Ressource ist überlastet</li>
</ul>"
"Frage:<br />
Wie identifiziert man Bottlenecks in Architekturen anhand der Top-Down-Berechnungen?"	Top-Down-Analyse basiert auf Workloads (Anfragen pro Zeiteinheit). Bottlenecks entstehen, wenn ein Service oder eine Ressource überproportional stark beansprucht wird.
"Frage:<br />
Wie lassen sich Engpässe in einem ArchiMate-Modell quantitativ identifizieren?"	"<ol>
<li>Bottom-Up: Analyse über Antwortzeiten und Auslastungen von Ressourcen</li>
<li>Top-Down: Analyse über die Arbeitslasten, wobei Services mit hoher Last oder Auslastung potenzielle Bottlenecks sind</li>
</ol>"
"Frage:<br />
Welche Aspekte behindern eine schnelle Transformation von Unternehmen?"	"<ul>
<li>Lack of Insight: Fehlendes Wissen über eigene Produkte, Services und Fähigkeiten</li>
<li>Legacy Applications: Veraltete, schwer integrierbare Systeme bremsen Veränderungen</li>
<li>Organizational Silos: Abteilungsdenken ohne bereichsübergreifende Zusammenarbeit oder gemeinsame Datenbasis</li>
<li>Unshared Understanding: Fehlendes gemeinsames Verständnis über Ziele, Prozesse und Zusammenhänge</li>
</ul>"
"Frage:<br />
Was sind typische Gründe für das Scheitern von EAM-Initiativen und wie können diese proaktiv adressiert werden?"	"<ul>
<li>Gründe: Fehlende Unterstützung durch das Top-Management, unklare Ziele, geringe Akzeptanz im Fachbereich und übermäßiger Dokumentationsfokus</li>
<li>Maßnahmen: Klare Kommunikation des Nutzens, starke Governance-Strukturen, partizipative Entwicklung, Pilotprojekte, Integration in Entscheidungsprozesse und strategische Planung</li>
</ul>"
"Frage:<br />
Was sind die drei primären Aktivitäten einer Enterprise Transformation?"	"<p>Die drei Aktivitäten sind:</p>
<ul>
<li>Architekturentwicklung: Ableitung und Modellierung von Zielarchitekturen</li>
<li>Strategieformulierung: Definition der Ziele und Handlungsrahmen</li>
<li>Transformation: Umsetzung der geplanten Änderungen</li>
</ul>"
"Frage:<br />
Welche Arten von Stakeholder gibt es in der Transformation?"	"<ol>
<li>an der Transformation beteiligte Stakeholder</li>
<li>von der Transformation betroffene Stakeholder</li>
<li>Förderer der Transformation</li>
</ol>"
"Frage:<br />
Was sind Herausforderungen für Enterprise Architecture?"	"<ul>
<li>fehlerhafte Erwartungen</li>
<li>mangelnde Beteiligung des Unternehmens</li>
<li>mangelnde Unterstützung durch die C-Level</li>
<li>Unterschätzung der Kommunikation</li>
<li>Unternehmensarchitektur als Mittel, nicht als Lösung</li>
</ul>"
"Frage:<br />
Was bedeutet Business-IT-Alignment im Kontext des EAM?"	Es beschreibt die Abstimmung zwischen strategischen Geschäftszielen und den Fähigkeiten der IT-Architektur, um optimale Wertschöpfung zu erzielen.
