#separator:tab
#html:true
"<p>{{c1::Control Strategy}} besteht aus:</p>
<ul>
<li>{{c2::Laissez-Faire Control}}</li>
<li>{{c2::Preemptive Control}}</li>
<li>{{c2::Stewardship Control}}</li>
</ul>"	
"Frage:<br />
Was sind typische Spannungen im Kontext digitaler Nachhaltigkeit?"	Zielkonflikte zwischen ökologischen, sozialen und ökonomischen Interessen (z. B. Effizienzsteigerung vs. Datenschutz, wirtschaftliches Wachstum vs. Ressourcenverbrauch).
"wahr oder falsch:<br />
Sharing Value bedeutet, dass das Unternehmen nachhaltige Gewinne maximiert."	"falsch:<br />
Sharing Value fokussiert auf gerechte Verteilung von geschaffenen Werten und aktive Einbindung der Stakeholder in die Wertschöpfung."
"Frage:<br />
Was bedeutet Maintaining Value im Kontext nachhaltiger Geschäftsmodelle?"	Die Sicherung und Wiederherstellung der Integrität natürlicher Ressourcen sowie der Funktionalität menschengemachter Artefakte über Lebenszyklen hinweg.
"wahr oder falsch:<br />
Unlocking Value bedeutet, nachhaltige Werte innerhalb der Organisation selbst zu optimieren."	"falsch:<br />
Unlocking Value zielt auf das Freisetzen ungenutzter Nachhaltigkeitspotenziale an den Schnittstellen zu Märkten und Konsumenten ab."
"Frage:<br />
Welche Rolle spielt Reflexivität im Digital Social Innovation Framework?"	Reflexivität hilft Akteuren, ihre eigene Position innerhalb von Machtstrukturen zu verstehen und Handlungen entsprechend sozial verantwortlich auszurichten.
"wahr oder falsch:<br />
Das Digital Social Innovation-Framework ignoriert systemische Ursachen gesellschaftlicher Probleme."	"falsch:<br />
Ein zentrales Ziel des Digital Social Innovation-Frameworks ist die Systemveränderung, insbesondere durch die Beseitigung ausbeuterischer Institutionen und den Aufbau transformativer Strukturen."
"wahr oder falsch:<br />
Digital Social Innovation basiert primär auf technologischer Exzellenz."	"falsch:<br />
Digital Social Innovation priorisiert soziale Innovationen, wobei digitale Technologien als Enabler sozialer Wirkung dienen, nicht umgekehrt."
"wahr oder falsch:<br />
Digital Social Innovation-Initiativen sollten stets die technologisch fortschrittlichste Lösung einsetzen."	"falsch:<br />
Das Prinzip des ""technoficing"" beschreibt den bewussten Einsatz angemessener, nicht notwendigerweise hochentwickelter Technologien, um sozialen Nutzen effizient zu erzielen."
"Frage:<br />
Warum ist Reflexivität ein zentrales Element in Sensemaking Support Systems?"	Weil sie Nutzer dazu befähigt, eigene Annahmen zu hinterfragen und alternative Sichtweisen im kollektiven Diskurs zu integrieren.
"Frage:<br />
Was ist das Ziel von Sensemaking Support Systems in Transformationskontexten?"	Das Ziel ist es, die kollektive Fähigkeit zur Sinnkonstruktion angesichts von Unsicherheit, Ambiguität und Komplexität zu stärken, um nachhaltige Handlungsfähigkeit zu ermöglichen.
"Frage:<br />
Welche drei Kernfunktionen sollen Sensemaking Support Systems ermöglichen?"	"<ul>
<li>Exploration alternativer Zukünfte</li>
<li>kollektives Lernen</li>
<li>Reframing existierender Narrative</li>
</ul>"
"Frage:<br />
Welche Herausforderungen im Nachhaltigkeitskontext adressieren Sensemaking Support Systems?"	"<ul>
<li>Ambiguität und Unsicherheit über Systemveränderungen</li>
<li>kognitive Überlastung in komplexen Entscheidungssituationen</li>
<li>Konfligierende Werte und Interessen</li>
</ul>"
"wahr oder falsch:<br />
Sensemaking Support System sollen die Anzahl an Perspektiven minimieren, um Entscheidungsfindung zu vereinfachen."	"falsch:<br />
Sensemaking Support System sollen multiperspektivische Sichtweisen sichtbar machen, um tiefere kollektive Deutungsprozesse zu ermöglichen."
"wahr oder falsch:<br />
Sensemaking Support Systems zielen darauf ab, Entscheidungen automatisiert zu treffen."	"falsch:<br />
Sensemaking Support Systems zielen nicht auf Entscheidungsautomatisierung, sondern darauf ab, individuelle und kollektive Deutungsprozesse in komplexen Umweltsituationen zu unterstützen."
"Frage:<br />
Was ist das Hauptziel von Impact Measurement and Valuation im Unternehmenskontext?"	Die Monetarisierung von sozialen und ökologischen Auswirkungen, um diese in finanzielle Entscheidungs- und Steuerungsprozesse zu integrieren.
