#separator:tab
#html:true
"<p>{{c1::Control Strategy}} consists of:</p>
<ul>
<li>{{c2::Laissez-Faire Control}}</li>
<li>{{c2::Preemptive Control}}</li>
<li>{{c2::Stewardship Control}}</li>
</ul>"	
"<p>Greenhouse gas emissions consist of:</p>
<ol>
<li>{{c1::direct emissions}}</li>
<li>{{c1::indirect emissions from energy}}</li>
<li>{{c1::indirect emissions from the value chain}}</li>
</ol>"	
"<p>A digital product has the following characteristics:</p>
<ul>
<li>{{c1::Economies of Scale}}</li>
<li>{{c1::Immateriality}}</li>
<li>{{c1::critical mass}}</li>
<li>{{c1::Lock-in Effect}}</li>
<li>{{c1::Network Effects}}</li>
<li>{{c1::Switching Costs}}</li>
</ul>"	
"{{c1::\(\text{Earth Overshood Day}\)}} \(=\) {{c2::\(\frac{\text{Earth&#039;s Biocapacity} }{\text{Humanity&#039;s Ecological Footprint} } \cdot 365\)}}"	
"<p>Digital Agriculture consists of:</p>
<ul>
<li>{{c1::Digital Farming}}</li>
<li>{{c1::Precision Farming}}</li>
<li>{{c1::Smart Farming}}</li>
</ul>"	
{{c1::Hybrid Decision-Making}} is {{c2::a decision-making strategy that focuses on both financial and non-financial aspects}}.	
{{c1::Social Responsibility Decision-Making}} is {{c2::a decision-making strategy that focuses on an organization's contribution to society}}.	
{{c1::Profit Oriented Decision-Making}} is {{c2::a decision-making strategy focused on maximizing profit to increase shareholder value}}.	
{{c1::A Decision-Making Strategy}} is {{c2::a digital governance strategy that incorporates goals into decision-making}}.	
"<p>{{c1::Decision-Making Strategy}} consists of:</p>
<ul>
<li>{{c2::Hybrid Decision-Making}}</li>
<li>{{c2::Profit Oriented Decision-Making}}</li>
<li>{{c2::Social Responsibility Decision-Making}}</li>
</ul>"	
{{c1::Stewardship Control}} is {{c2::a control strategy of digital governance that considers both innovation and security}}. {{c1::Stewardship Control}} is a hybrid approach between {{c3::Preemptive Control}} and {{c3::Laissez-Faire Control}}.	
{{c1::Preemptive Control}} is {{c2::a control strategy of digital governance that uses preventive measures to avoid or mitigate risks}}.	
{{c1::Laissez-Faire Control}} is {{c2::a control strategy of digital governance with minimal influence or control}}.	
{{c1::Digital Governance Strategy}} is {{c2::a strategic approach to enforce rules for the efficient delivery of digital services}}.	
{{c1::Digital Responsibility}} is {{c2::stakeholders' efforts to contribute to a sustainable, inclusive, fair, and values-based digital society that goes beyond legal minimum requirements}}.	
{{c1::Corporate Governance}} is {{c2::the set of practices, rules, decision-making processes, management structures, and relationships with internal and external stakeholders of a company}}.	
{{c1::A Science-Based Target (SBT)}} is {{c2::a voluntarily adopted emissions target aligned with the 1.5-degree goal}}.	
{{c1::The Emissions Report}} is {{c2::a report on the results of greenhouse gas emission calculations}}.	
{{c1::An indirect emission from the value chain}} is {{c2::an indirect emission from components of the value creation chain}}.	
{{c1::An indirect emission from energy}} is {{c2::an indirect emission from the generation of energy consumed by a company}}.	
{{c1::A direct emission}} is {{c2::an emission directly generated by a company and its resources}}.	
{{c1::The GHG Protocol}} is {{c2::a standard for GHG accounting}}.	
{{c1::GHG Accounting}} is {{c2::the reporting of greenhouse gas emissions}}. {{c1::In GHG Accounting}}, various gases are converted into {{c3::CO2 equivalents}} to enhance comparability.	
{{c1::A Sustainability Audit}} is {{c2::the auditing of the sustainability report regarding data and evidence}}.	
The sustainability audit can be conducted as {{c1::a full audit}} or {{c1::a limited audit focusing on key topics and KPIs}}.	
"{{c1::Mandatory sustainability reporting}} could increase digital maturity by {{c2::enforcing data management and data usage}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Puechel-Regulation-Driven_Twin_Transformation.png"" alt=""""><br />
Regulation-Driven Twin Transformation}}}}"	
"{{c1::A Digital Maturity Model}} is {{c2::a model of digital maturity to understand the current state and capabilities of an organization regarding digital transformation}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Puechel-Digital_Maturity_Model.png"" alt=""""><br />
Digital Maturity Model}}}}"	
{{c1::Digital Maturity}} is {{c2::the status of digital transformation, combining technological aspects with aspects of business transformation}}.	
{{c1::The Global Reporting Initiative}} is {{c2::a reporting framework for standards related to sustainability reporting}}.	
{{c1::The Corporate Sustainability Reporting Directive (CSRD)}} is {{c2::an EU law mandating the submission of a sustainability report}}. {{c1::The CSRD}} includes the influence of a company on {{c3::the environment}}, {{c3::climate change}}, {{c3::society}}, and {{c3::sustainability governance}}.	
{{c1::A Sustainability Report}} is {{c2::a non-financial, transparent report on ESG performance for shareholders}}.	
{{c1::Sustainability Governance}} is {{c2::the governance of ESG responsibilities through a data-driven, transparent, and traceable method}}, which includes {{c3::the development and implementation of guidelines, processes, and systems}}.	
"<p>Factors of sustainability governance are:</p>
<ul>
<li>{{c1::Sustainability Data Management}}</li>
<li>{{c1::clearly defined roles and responsibilities}}</li>
<li>{{c1::sustainable corporate culture}}</li>
<li>{{c1::sustainability as part of decision-making processes}}</li>
<li>{{c1::SMART sustainability goals}}</li>
</ul>"	
{{c1::Switching Costs}} are {{c2::costs incurred when switching software or providers}}.	
{{c1::The critical mass in Economies of Scale}} is {{c2::the number of users at which user growth increases exponentially}}.	
{{c1::The immateriality of software}} is {{c2::the immateriality that software can be stored and transported on any medium}}.	
{{c1::Digital Social Entrepreneurship}} is {{c2::a form of social entrepreneurship that integrates digital technologies into the business model}}.	
{{c1::Social Entrepreneurship}} is {{c2::entrepreneurial thinking and acting for the benefit of society}}. The success of {{c1::social entrepreneurship}} is not judged solely on financial profit but rather on {{c3::social benefit}}.	
"<p>Problems in calculating the ecological footprint are:</p>
<ul>
<li>{{c1::unclear calculation}}</li>
<li>{{c1::too much focus on individual consumption instead of on society as a whole}}</li>
</ul>"	
"<p>Impacts of high energy consumption of AI are:</p>
<ul>
<li>economic impacts<ul>
<li>{{c1::significant energy consumption}}</li>
<li>{{c1::greenhouse gas emissions}}</li>
<li>{{c1::reduced air quality}}</li></ul></li>
<li>social impacts<ul>
<li>{{c2::pressure on the housing market}}</li>
<li>{{c2::public subsidies}}</li>
<li>{{c2::rising electricity prices}}</li></ul></li>
</ul>"	
{{c1::AI}} has high energy consumption due to {{c2::training with specialized hardware, high water and cooling needs, and robust infrastructure}}. This exceeds up to {{c3::50}} times the normal consumption of traditional cloud services.	
Transparency through Data is {{c2::creating transparency through data, especially in relation to sustainability and associated indicators, monitoring, and reporting}}.	
{{c1::The Twin Transformation}} is {{c2::aligning digitalization with sustainability}}.	
"<p>Effects of digital transformation are:</p>
<ul>
<li>{{c1::Agility in planning and processes}}</li>
<li>{{c1::Understanding the impact through data collection and monitoring}}</li>
<li>{{c1::Building momentum}}</li>
<li>{{c1::Remote work}}</li>
</ul>"	
{{c1::A Business Model for Sustainability}} is {{c2::a business model that contributes to ecological, economic, or social value creation, preserves, creates, or shares value}}.	
{{c1::Corporate Sustainability Communication}} is {{c2::communication about organizational changes in sustainability within a company}}.	
Corporate sustainability communication can be a driver for sustainable changes, since {{c2::it generates motivation and stakeholder pressure}}.	
{{c1::A Sustainability Balanced Scorecard (SBSC)}} is {{c2::a balanced scorecard extended to include the sustainability dimension}}. It can be integrated either as part of an existing {{c2::balanced scorecard}} or as its own factor.	
"<p>Types of tension are:</p>
<ul>
<li>{{c1::Design tensions: conflicting goals in system design (e.g., transparency vs. data privacy)}}</li>
<li>{{c2::Process tensions: tensions in decision-making and operations (e.g., short-term gains vs. long-term goals)}}</li>
<li>{{c3::Impact tensions: trade-offs between intended and unintended sustainability impacts}}</li>
<li>{{c4::Governance tensions: conflicts regarding rules, ownership, and control (e.g., centralization vs. decentralization)}}</li>
</ul>"	
{{c1::A tension}} is {{c2::a persistent contradiction between competing elements that requires a compromise or integration}}.	
{{c1::Greenwashing}} is {{c2::the misleading or false claim by a company about the environmental benefits of a product or service that deceives consumers}}.	
"<p>Digital drivers of the circular economy in the textile industry are:</p>
<ul>
<li>{{c1::Maintaining the material cycle}}</li>
<li>{{c1::Reducing raw material extraction}}</li>
<li>{{c1::Extending product lifespan}}</li>
<li>{{c1::Waste prevention through design}}</li>
</ul>"	
The clothing industry is resource-intensive and consumes a high number of resources such as {{c1::water}}, and produces high amounts of {{c1::emissions}}.	
{{c1::A Digital Product Passport}} is {{c2::an embedded digital carrier in a product containing information about the origin, material, and other product details}}.	
{{c1::The Cellulose Gap}} is {{c2::a shortage of cellulose caused by rising demand for cotton products}}.	
There is a correlation between strategic corporate social responsibility and a company's financial performance, in which strategic CSR promotes {{c1::reputation}}, {{c1::stakeholder relations}}, {{c1::risk mitigation}}, and {{c1::innovation}}.	
{{c1::Strategic Corporate Social Responsibility (Strategic CSR)}} is {{c2::a subset of CSR that differentiates value-generating CSR from non-strategic CSR}}.	
{{c1::The ESG Performance}} is {{c2::the measurement of ESG activities via the Bloomberg ESG Score}}.	
There is a correlation between {{c1::digital transformation}} and {{c2::ESG performance}}, where higher digital transformation increases ESG performance. A {{c3::society-driven regulation}} drives digital transformation more than a {{c3::state-driven regulation}}.	
{{c1::The Dual Environmental Regulation}} is {{c2::formal (government-driven) and informal (society-driven) regulation of the environment}}.	
There is a correlation between {{c1::environmental performance}} and {{c2::financial success}}, where {{c3::lower CO2 footprint}} leads to {{c3::higher return on assets and Tobin's Q}}.	
{{c1::The Instrumental Stakeholder Theory}} is {{c2::a theory that organizations benefit from collaborating with stakeholders}}.	
{{c1::Corporate Digital Innovative Performance}} is {{c2::a company’s ability to use digital technologies to develop new products, services, processes, or business models}}.	
"<p>{{c1::Corporate Digital Innovative Performance}} can be measured by:</p>
<ul>
<li>{{c2::Revenue from digital channels}}</li>
<li>{{c3::Speed and extent of digital adoption}}</li>
<li>{{c4::Degree of digital customer engagement}}</li>
<li>{{c5::Investment in digital technology R&amp;D}}</li>
<li>{{c6::New digital products or services launched}}</li>
<li>{{c7::Number of projects related to digitization and technologies}}</li>
<li>{{c8::Patents related to digital innovation}}</li>
</ul>"	
"<p>Corporate Digital Innovative Performance consists of:</p>
<ul>
<li>{{c1::Digitization of internal processes}}</li>
<li>{{c1::Introduction of new technologies}}</li>
<li>{{c1::Digital transformation initiatives}}</li>
</ul>"	
{{c1::Corporate Sustainable Performance}} is {{c2::a company’s ability to monitor its ESG values and simultaneously achieve financial success}}.	
"<p>Corporate Sustainable Performance can be measured by:</p>
<ul>
<li>{{c1::Governance metrics}}</li>
<li>{{c1::Social metrics}}</li>
<li>{{c1::Environmental metrics}}</li>
</ul>"	
In the context of Planetary Boundaries and the Resource-Based View, {{c1::natural resources}} must be {{c2::limited}} to {{c3::enforce innovative resource efficiency}}. {{c3::Resource efficiency}} can be supported by digital technologies.	
In the context of Planetary Boundaries and the Stakeholder Theory, {{c1::the environment}} must be considered {{c2::a stakeholder}}. It must also be a concern of {{c2::existing stakeholders}} to consider {{c1::the environment}} as {{c2::a stakeholder}}.	
{{c1::Financial Materiality}} is {{c2::a dimension of Double Materiality describing how the environment, ESG issues, and society affect an organization's finances and value}}.	
{{c1::Impact Materiality}} is {{c2::a dimension of Double Materiality describing how an organization affects the environment and society}}.	
{{c1::Double Materiality}} is {{c2::a sustainability reporting concept including both Financial and Impact Materiality dimensions}}.	
"<p>Challenges of digital innovation in relation to sustainability are:</p>
<ul>
<li>{{c1::Dependencies}}</li>
<li>{{c1::Privacy and security}}</li>
<li>{{c1::Digital divide}}</li>
<li>{{c1::E-waste}}</li>
<li>{{c1::Resource intensity}}</li>
</ul>"	
{{c1::Digitisation}} is {{c2::the conversion of analog information into digital information}}.	
{{c1::A Sustainable Business Model Innovation}} is {{c2::the redesign of a business model to integrate sustainability aspects}}. The focus in {{c1::Sustainable Business Model Innovation}} shifts from {{c3::linear value creation}} to {{c3::regenerative value creation}}, resulting in {{c4::a competitive advantage}}.	
"<p>Sustainable Business Model Innovation consists of:</p>
<ul>
<li>{{c1::Integration of circular economy}}</li>
<li>{{c1::Technological sustainability}}</li>
<li>{{c1::Behavioral change}}</li>
</ul>"	
{{c1::A Doughnut Economy}} is {{c2::a model that connects planetary boundaries and social aspects}}. It provides a framework for {{c3::sustainable decision-making}}.	
{{c1::The Triple Bottom Line}} is {{c2::a concept that organizations should be measured not only by economic impact but also by social and environmental impact}}.	
In the context of {{c1::the Triple Bottom Line}}, organizations must integrate {{c2::CO2 neutrality}}, {{c2::biodiversity protection}}, and {{c2::circular economy principles}} into their business models.	
{{c1::The Shareholder Theory}} is {{c2::a theory that an organization must consider the interests of its shareholders}}.	
{{c1::The Stakeholder Theory}} is {{c2::a theory that an organization must consider the interests of all its stakeholders}}.	
{{c1::Planetary Boundaries}} are {{c2::nine defined limits that, if exceeded, would cause irreversible environmental damage}}.	
"<p>The Planetary Boundaries consist of:</p>
<ul>
<li>{{c1::Atmospheric aerosol loading}}</li>
<li>{{c2::Biodiversity}}</li>
<li>{{c3::Biogeochemical flows (nitrogen and phosphorus)}}</li>
<li>{{c4::Chemical pollution}}</li>
<li>{{c5::Freshwater use}}</li>
<li>{{c6::Climate change}}</li>
<li>{{c7::Novel entities (pollutants, plastics, etc.)}}</li>
<li>{{c8::Ozone layer}}</li>
<li>{{c9::Land-system change}}</li>
<li>{{c10::Ocean acidification}}</li>
</ul>"	
{{c1::Digital Sustainability}} is {{c2::a set of activities that promote sustainable development through technology}}.	
{{c1::ESG (Environmental Social Governance)}} is {{c2::a framework to evaluate organizational sustainability}}.	
"<p>Internal drivers of sustainable development are:</p>
<ul>
<li>{{c1::Invention and growth}}</li>
<li>{{c1::Cost reduction}}</li>
<li>{{c1::Sustainable persistence of the business model}}</li>
<li>{{c1::Risk management}}<br>
{{c1::<img src=""2025-Bild-Puechel-Internal_and_External_Drivers_fo_Sustainable_Development.png"" alt=""""><br>
Internal and External Drivers of Sustainable Development}}</li>
</ul>"	
