#separator:tab
#html:true
"Example:<br />
Compliance Frameworks"	"<ul>
<li>CMMI</li>
<li>COBIT</li>
<li>ITIL</li>
<li>PMBOK</li>
<li>PRINCE2</li>
</ul>"
"True or false:<br />
The costs of cyberattacks have increased significantly in the period 2018 - 2023 and are expected to continue growing."	true
"Example:<br />
Threat Vectors"	"<ul>
<li>Advanced Persistent Threat</li>
<li>Cyber Espionage</li>
<li>Double Extortion</li>
<li>Insider Threat</li>
<li>Ransomware</li>
<li>Triple Extortion</li>
</ul>"
{{c1::The ISO/IEC 19770}} is {{c2::a standard for IT Asset Management}}.	
{{c1::The ISO 22301}} is {{c2::a standard for Business Continuity Management}}.	
{{c1::The ISO 15489}} is {{c2::a standard for Records Management}}.	
{{c1::The Cybersecurity Legislation}} are {{c2::legal regulations and political measures of the EU aimed at ensuring the security of information systems}}.	
{{c1::The NIST Cybersecurity Framework}} is {{c2::a governance framework for cybersecurity}}.	
"{{c1::The BSI Standard}} is {{c2::a set of cybersecurity standards from the Federal Office for Information Security}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Teubner-IT-Grundschutz-Methodik.png"" alt=""""><br />
IT-Grundschutz-Methodik}}}}"	
{{c1::A threat in cybersecurity}} is {{c2::an event or condition that can potentially cause damage to an organization's information system}}.	
{{c1::A threat actor}} is {{c2::a person or group that deliberately carries out cyberattacks}}.	
{{c1::A threat vector}} is {{c2::the possibility or source through which a threat actor can gain access to carry out a cyberattack}}. {{c1::The threat vector}} includes {{c3::the method and means of a cyberattack}}.	
{{c1::A threat surface}} is {{c2::the total of all vulnerabilities or access points in software or an organization through which a threat actor can gain access to the information infrastructure}}.	
{{c1::An insider threat}} is {{c2::a threat vector conducted by a person inside an organization as a threat actor}}. {{c1::An insider threat}} is mostly carried out by {{c3::employees or former employees}}.	
{{c1::Cyber espionage}} is {{c2::espionage by political, military, or economic actors to obtain sensitive information}}.	
{{c1::Double extortion}} is {{c2::a cyberattack in which data is decrypted, sensitive information is extracted, and the organization is then extorted}}.	
{{c1::Triple extortion}} is {{c2::a double extortion where not only is the organization extorted, but the data is also used elsewhere}}.	
{{c1::IS-Security}} is {{c2::the protection of technologies, information systems, and users against the effects of damage and unauthorized access}}.	
{{c1::The information security triad (CIA triad)}} is {{c2::Confidentiality, Integrity, and Availability as key values of information security}}.	
"{{c1::The net cyberrisk}} is {{c2::a metric to identify the extent of risk from cyberattacks}}. {{c1::The net cyberrisk}} is calculated by:<br />
{{c1::\(\text{Net Cyberrisk}\)}} \(=\) {{c3::\(\text{Number of Threat Actors} \cdot \text{Intensity of Attack Vectors} \cdot \text{Size of Attack Surface}\)}}"	
{{c1::The threat scenario analysis}} is {{c2::the analysis of possible cyber threats}}.	
"<p>{{c1::The threat scenario analysis}} consists of several steps:</p>
<ol>
<li>{{c2::Threat actor}}: {{c2::Who would have an interest in attacking the organization?}}</li>
<li>{{c2::Motivation}}: {{c2::Why does this interest exist?}}</li>
<li>{{c2::Where}}: {{c2::Which components are attacked?}}</li>
<li>{{c2::How}}: {{c2::Which threat vectors are used?}}</li>
</ol>"	
"{{c1::The business impact analysis}} is {{c2::the analysis of a cyberattack and its effects on business functions}}.<br>
{{c1::{{c2::<img src=""2025-Bild-Teubner-Business_Impact_Analysis.png"" alt=""""><br>
Business Impact Analysis}}}}"	
{{c1::Cybersecurity}} is prioritized in top management as one of the most important and significant IT topics.	
{{c1::A multiple provider alliance}} is {{c2::a relationship between multiple providers for multiple clients for outsourcing}}.	
{{c1::A multiple provider relation}} is {{c2::a relationship between multiple providers for one client for outsourcing}}.	
{{c1::A single provider alliance}} is {{c2::a relationship between one provider for multiple clients for outsourcing}}.	
{{c1::A single provider relation}} is {{c2::a relationship between one provider for one client for outsourcing}}.	
"true or false:<br />
Most governance domains have a Federal archetype."	true
"true or false:<br />
Most governance domains have a Feudal archetype."	false
"true or false:<br />
IT Investment mostly has a Business Monarchy archetype."	true
"true or false:<br />
IT Investment mostly has an IT Monarchy archetype."	false
"true or false:<br />
Architecture Committees often replace or supplement IT/IS Leadership Committees for architectural decisions."	true
"true or false:<br />
Architecture Committees are mostly responsible for infrastructural and architectural decisions."	true
"true or false:<br />
Business-IT Relationship Managers promote mutual understanding and problem awareness between IT and business."	true
